Ouessa,Nangodi,Yarugu,Tagou,Arly,Porga,Sabari,Bamboi,Senchi
9.625,0.0,17.40436842105263,0.0,0.2,2.586206896551724,15.636045454545455,70.7744054054054,55.15384615384615
5.333333333333333,0.0,13.67,0.0,0.0,0.7931034482758621,13.614833333333335,53.79347222222222,31.32
3.3636363636363638,0.0,21.462705882352942,0.0,0.0,0.07142857142857142,14.200666666666669,47.03794444444445,23.5
3.5555555555555554,0.05555555555555555,22.57094117647059,0.0,0.0,0.1935483870967742,18.761079999999996,37.984675675675675,25.0
12.083333333333334,2.40005,29.3576,0.625,1.0,2.7058823529411766,26.37812,49.08746153846154,60.67857142857143
30.25,10.331476190476192,67.07350000000001,7.25,3.3333333333333335,9.121212121212121,68.23080769230769,119.50192499999999,293.77777777777777
58.6875,24.816142857142857,107.53010526315788,22.0,8.833333333333334,28.125,263.4731923076923,232.25735,825.25
119.0,80.67429999999999,234.2171176470588,44.875,20.833333333333332,131.93548387096774,855.9007777777776,472.088,1798.3214285714287
152.1875,122.60794736842108,269.33058823529416,34.625,47.6,259.969696969697,1859.7434615384616,942.0545945945947,4897.857142857143
70.70588235294117,19.56785,49.97094444444445,1.125,27.2,204.0,1072.833576923077,855.0679729729729,5120.392857142857
40.375,0.9478421052631579,29.584944444444446,0.0,5.375,30.387096774193548,127.43862500000004,247.3671842105264,1241.9642857142858
19.0,0.21052631578947367,15.600470588235297,0.0,1.7142857142857142,6.166666666666667,30.888454545454547,114.63983783783783,171.96428571428572
